Date,Station_Name,AGO_Sales (L),PMS_Sales (L),Lubricant_Sales (L),Diesel_Sales (L),LPG_Sales (kg),Total_Revenue (₦),Product_Category,Shift,Weekday,Total_Fuel_Sales,Non_Fuel_Sales,Day_Type
2025-01-19,Idimu,10335,11968,592,12217,2914,29209290,Automotive Fuel,Afternoon,Sunday,34520,3506,Weekend
2025-01-20,Iwaya,13589,29111,744,18581,1029,46712970,Lubricant,Afternoon,Monday,61281,1773,Weekday
2025-01-21,Maryland,8399,20257,1217,8000,1009,29317950,Lubricant,Morning,Tuesday,36656,2226,Weekday
2025-01-22,Idimu,12596,12021,707,10686,1388,28616970,Lubricant,Night,Wednesday,35303,2095,Weekday
2025-01-23,Iwaya,6470,12639,1165,19086,1745,32531620,Automotive Fuel,Night,Thursday,38195,2910,Weekday
2025-01-24,Maryland,6821,27534,1244,13117,1540,37565790,Lubricant,Morning,Friday,47472,2784,Weekday
2025-01-25,Idimu,14699,28414,950,15562,2425,46215440,Cooking Gas,Afternoon,Saturday,58675,3375,Weekend
2025-01-26,Iwaya,13977,10709,716,13350,1766,31323700,Lubricant,Morning,Sunday,38036,2482,Weekend
2025-01-27,Maryland,11783,23822,966,8637,2715,35643640,Automotive Fuel,Night,Monday,44242,3681,Weekday
2025-01-28,Idimu,14066,27691,1250,18458,1204,47207610,Cooking Gas,Afternoon,Tuesday,60215,2454,Weekday
2025-01-29,Iwaya,10844,11631,559,8474,2687,26043780,Automotive Fuel,Morning,Wednesday,30949,3246,Weekday
2025-01-30,Maryland,9182,13758,707,19920,1328,34706400,Automotive Fuel,Night,Thursday,42860,2035,Weekday
2025-01-31,Idimu,9010,27944,609,19588,1282,43290960,Cooking Gas,Morning,Friday,56542,1891,Weekday
2025-02-01,Iwaya,8019,13972,567,18114,1128,32042330,Lubricant,Morning,Saturday,40105,1695,Weekend
2025-02-02,Maryland,9618,15971,866,8553,2883,28790660,Cooking Gas,Morning,Sunday,34142,3749,Weekend
2025-02-03,Idimu,8171,27436,888,9976,2848,36338770,Lubricant,Night,Monday,45583,3736,Weekday
2025-02-04,Iwaya,14047,12000,794,10013,2030,29859410,Lubricant,Morning,Tuesday,36060,2824,Weekday
2025-02-05,Maryland,8087,16302,1295,12475,2197,31348500,Cooking Gas,Night,Wednesday,36864,3492,Weekday
2025-02-06,Idimu,10358,20549,1151,12127,1833,34929540,Automotive Fuel,Afternoon,Thursday,43034,2984,Weekday
2025-02-07,Iwaya,11860,14726,1123,10832,1610,30963640,Cooking Gas,Afternoon,Friday,37418,2733,Weekday
2025-02-08,Maryland,10626,10528,1154,15033,1517,30737210,Lubricant,Morning,Saturday,36187,2671,Weekend
2025-02-09,Idimu,5114,27809,1083,13390,2959,37572300,Lubricant,Night,Sunday,46313,4042,Weekend
2025-02-10,Iwaya,11841,17014,671,14914,1843,35077880,Automotive Fuel,Afternoon,Monday,43769,2514,Weekday
2025-02-11,Maryland,13785,27326,1389,17560,1809,46815500,Automotive Fuel,Night,Tuesday,58671,3198,Weekday
2025-02-12,Idimu,11426,28491,1006,11582,2694,40887790,Lubricant,Afternoon,Wednesday,51499,3700,Weekday
2025-02-13,Iwaya,9383,25950,1222,18410,1374,42612850,Lubricant,Afternoon,Thursday,53743,2596,Weekday
2025-02-14,Maryland,6012,14564,956,8507,2433,24931390,Cooking Gas,Morning,Friday,29083,3389,Weekday
2025-02-15,Idimu,5845,15469,595,8390,2751,24846750,Lubricant,Morning,Saturday,29704,3346,Weekend
2025-02-16,Iwaya,6578,17105,1170,18183,2642,35547510,Automotive Fuel,Morning,Sunday,41866,3812,Weekend
2025-02-17,Maryland,5797,16975,909,19810,1316,34562300,Lubricant,Morning,Monday,42582,2225,Weekday
2025-02-18,Idimu,8426,12824,598,15446,1234,29565720,Lubricant,Night,Tuesday,36696,1832,Weekday
2025-02-19,Iwaya,6467,27636,1119,11349,2605,36572080,Lubricant,Night,Wednesday,45452,3724,Weekday
